,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002475.SZ,20211230,47.0,49.1,46.77,48.51,47.71,0.7999999999999972,1.6768,640920.36,3093128.783
1,002475.SZ,20211229,48.48,48.48,47.02,47.71,48.18,-0.46999999999999886,-0.9755,398975.02,1901397.007
2,002475.SZ,20211228,48.82,49.3,47.41,48.18,48.7,-0.5200000000000031,-1.0678,519616.71,2501066.53
3,002475.SZ,20211227,49.3,50.88,48.41,48.7,49.54,-0.8399999999999963,-1.6956,587205.59,2890982.301
4,002475.SZ,20211224,48.52,50.1,48.52,49.54,49.0,0.5399999999999991,1.102,638642.85,3165356.971
5,002475.SZ,20211223,48.5,49.3,47.25,49.0,47.8,1.2000000000000028,2.5105,704126.59,3421805.701
6,002475.SZ,20211222,45.52,49.16,45.52,47.8,45.51,2.289999999999999,5.0319,1128573.1,5392390.91
7,002475.SZ,20211221,44.18,46.4,44.17,45.51,44.37,1.1400000000000006,2.5693,523564.48,2384098.772
8,002475.SZ,20211220,45.5,46.47,43.88,44.37,45.78,-1.4100000000000037,-3.0799,584668.09,2616827.957
9,002475.SZ,20211217,46.0,46.77,45.65,45.78,46.56,-0.7800000000000011,-1.6753,390770.16,1802560.12
10,002475.SZ,20211216,45.91,46.78,45.45,46.56,45.37,1.1900000000000048,2.6229,517770.43,2392758.634
11,002475.SZ,20211215,46.12,46.66,45.1,45.37,46.35,-0.980000000000004,-2.1143,556915.52,2542784.494
12,002475.SZ,20211214,46.6,46.96,45.9,46.35,46.66,-0.30999999999999517,-0.6644,547042.38,2538941.182
13,002475.SZ,20211213,45.32,47.0,45.22,46.66,45.32,1.3399999999999963,2.9568,812952.38,3787744.88
14,002475.SZ,20211210,44.86,45.87,44.75,45.32,45.61,-0.28999999999999915,-0.6358,681682.09,3085637.204
15,002475.SZ,20211209,44.1,46.77,43.64,45.61,44.09,1.519999999999996,3.4475,1413262.63,6449809.82
16,002475.SZ,20211208,41.7,44.33,40.88,44.09,41.52,2.5700000000000003,6.1898,1272020.0,5449433.17
17,002475.SZ,20211207,40.2,42.0,40.08,41.52,39.53,1.990000000000002,5.0342,931768.52,3857078.459
18,002475.SZ,20211206,38.63,40.1,38.2,39.53,38.63,0.8999999999999986,2.3298,554777.91,2194139.358
19,002475.SZ,20211203,38.65,39.0,38.1,38.63,38.63,0.0,0.0,496447.92,1906614.345
20,002475.SZ,20211202,39.41,40.07,38.44,38.63,39.8,-1.1699999999999946,-2.9397,558143.95,2174994.246
21,002475.SZ,20211201,39.58,40.08,39.4,39.8,39.65,0.14999999999999858,0.3783,283991.57,1127115.635
22,002475.SZ,20211130,40.1,40.18,39.53,39.65,40.1,-0.45000000000000284,-1.1222,417894.12,1660144.224
23,002475.SZ,20211129,39.48,40.97,39.25,40.1,40.12,-0.01999999999999602,-0.0499,479737.68,1917982.636
24,002475.SZ,20211126,41.6,41.6,40.01,40.12,41.75,-1.6300000000000026,-3.9042,586856.09,2370541.106
25,002475.SZ,20211125,41.9,42.49,41.38,41.75,42.3,-0.5499999999999972,-1.3002,303637.95,1267978.224
26,002475.SZ,20211124,42.32,42.65,41.36,42.3,42.02,0.27999999999999403,0.6663,405283.69,1706186.555
27,002475.SZ,20211123,42.55,42.77,41.8,42.02,42.76,-0.7399999999999949,-1.7306,394317.66,1662439.846
28,002475.SZ,20211122,43.31,43.33,42.23,42.76,43.1,-0.3400000000000034,-0.7889,620096.21,2650383.357
29,002475.SZ,20211119,40.77,43.95,40.77,43.1,40.85,2.25,5.508,1006740.8,4327723.695
30,002475.SZ,20211118,42.16,43.2,40.6,40.85,42.46,-1.6099999999999994,-3.7918,594397.68,2458748.462
31,002475.SZ,20211117,42.7,42.85,42.0,42.46,42.88,-0.4200000000000017,-0.9795,447624.53,1898891.11
32,002475.SZ,20211116,41.44,43.35,41.36,42.88,41.74,1.1400000000000006,2.7312,827049.26,3536763.834
33,002475.SZ,20211115,40.46,42.04,40.31,41.74,40.48,1.2600000000000051,3.1126,737467.43,3060626.289
34,002475.SZ,20211112,39.81,40.78,39.13,40.48,39.89,0.5899999999999963,1.4791,413607.25,1663609.144
35,002475.SZ,20211111,39.4,40.57,39.22,39.89,39.55,0.3400000000000034,0.8597,532653.99,2135757.855
36,002475.SZ,20211110,39.89,40.13,39.2,39.55,39.9,-0.3500000000000014,-0.8772,442498.32,1750723.853
37,002475.SZ,20211109,40.7,41.0,39.2,39.9,40.7,-0.8000000000000043,-1.9656,555469.72,2214451.004
38,002475.SZ,20211108,41.02,41.19,39.68,40.7,41.2,-0.5,-1.2136,549686.91,2224415.591
39,002475.SZ,20211105,41.21,42.17,41.15,41.2,41.2,0.0,0.0,618383.55,2575714.612
40,002475.SZ,20211104,39.96,41.97,39.86,41.2,39.78,1.4200000000000017,3.5696,844090.87,3471367.875
41,002475.SZ,20211103,40.0,40.18,39.09,39.78,39.78,0.0,0.0,439896.94,1744057.257
42,002475.SZ,20211102,39.7,40.48,39.2,39.78,39.79,-0.00999999999999801,-0.0251,616934.72,2454522.531
43,002475.SZ,20211101,38.64,40.03,38.0,39.79,38.64,1.1499999999999986,2.9762,778276.35,3075787.414
44,002475.SZ,20211029,38.86,39.32,38.2,38.64,38.88,-0.240000000000002,-0.6173,704001.9,2729298.439
45,002475.SZ,20211028,37.0,40.1,36.75,38.88,38.12,0.7600000000000051,1.9937,1613413.74,6296787.923
46,002475.SZ,20211027,39.1,39.1,38.01,38.12,39.32,-1.2000000000000028,-3.0519,659338.02,2534874.645
47,002475.SZ,20211026,37.55,39.5,37.22,39.32,37.76,1.5600000000000023,4.1314,1064459.39,4120783.649
48,002475.SZ,20211025,37.8,38.18,37.15,37.76,37.83,-0.07000000000000028,-0.185,456013.81,1723877.627
49,002475.SZ,20211022,37.27,38.12,36.94,37.83,37.28,0.5499999999999972,1.4753,521738.96,1967833.551
50,002475.SZ,20211021,37.0,38.3,36.85,37.28,37.09,0.18999999999999773,0.5123,622848.97,2341408.076
51,002475.SZ,20211020,37.39,37.44,36.51,37.09,36.99,0.10000000000000142,0.2703,438103.96,1617056.768
52,002475.SZ,20211019,34.93,37.68,34.93,36.99,34.79,2.200000000000003,6.3237,856507.88,3136367.582
53,002475.SZ,20211018,36.08,36.08,34.56,34.79,36.18,-1.3900000000000006,-3.8419,534965.94,1871388.289
54,002475.SZ,20211015,35.8,36.6,35.37,36.18,35.72,0.46000000000000085,1.2878,456224.73,1649168.064
55,002475.SZ,20211014,36.43,36.45,35.69,35.72,36.16,-0.4399999999999977,-1.2168,306368.83,1100443.793
56,002475.SZ,20211013,36.22,36.49,35.6,36.16,36.45,-0.29000000000000625,-0.7956,429322.94,1546910.553
57,002475.SZ,20211012,37.57,37.69,36.13,36.45,37.57,-1.1199999999999974,-2.9811,543413.66,1998069.467
58,002475.SZ,20211011,37.6,38.79,37.4,37.57,37.68,-0.10999999999999943,-0.2919,612184.03,2321984.291
59,002475.SZ,20211008,37.0,37.92,36.5,37.68,35.71,1.9699999999999989,5.5167,858837.73,3219976.765
60,002475.SZ,20210930,35.71,36.2,35.5,35.71,35.71,0.0,0.0,361610.39,1296961.13
61,002475.SZ,20210929,35.2,36.13,34.59,35.71,35.81,-0.10000000000000142,-0.2793,551235.83,1947621.865
62,002475.SZ,20210928,36.84,36.84,35.6,35.81,36.84,-1.0300000000000011,-2.7959,546309.19,1970308.995
63,002475.SZ,20210927,35.6,37.36,35.4,36.84,35.6,1.240000000000002,3.4831,972161.71,3563584.306
64,002475.SZ,20210924,35.3,36.64,34.9,35.6,35.48,0.12000000000000455,0.3382,960292.01,3438634.26
65,002475.SZ,20210923,33.0,35.58,33.0,35.48,32.9,2.5799999999999983,7.8419,1249023.84,4325737.863
66,002475.SZ,20210922,33.0,33.55,32.8,32.9,33.53,-0.6300000000000026,-1.8789,365840.38,1208645.203
